orig_trace_id,trace_len,analysis_time,verdict
1f,1,1.5779770612716675,Fail
1f,10,1.5406842231750488,Fail
1f,11,1.7853114604949951,Fail
1f,12,1.556485891342163,Fail
1f,13,1.7908189296722412,Fail
1f,14,1.5462377071380615,Fail
1f,15,1.6094794273376465,Fail
1f,16,1.436203956604004,Fail
1f,17,1.5176340341567993,Fail
1f,18,1.4506165981292725,Fail
1f,19,1.518024206161499,Fail
1f,2,1.3458141088485718,Fail
1f,20,1.520419955253601,Fail
1f,21,1.4597574472427368,Fail
1f,22,1.561932921409607,Fail
1f,23,1.4670512676239014,Fail
1f,24,1.5624065399169922,Fail
1f,25,1.7308598756790161,Fail
1f,26,1.5948293209075928,Fail
1f,27,1.64882230758667,Fail
1f,28,1.6242173910140991,Fail
1f,29,1.7451907396316528,Fail
1f,3,1.4429514408111572,Fail
1f,30,1.8085787296295166,Fail
1f,31,2.529984951019287,Fail
1f,32,1.7609198093414307,Fail
1f,33,1.8095368146896362,Fail
1f,34,1.6494983434677124,Fail
1f,35,1.686808705329895,Fail
1f,36,1.6319164037704468,Fail
1f,37,1.6470906734466553,Fail
1f,38,1.609100103378296,Fail
1f,39,1.6763617992401123,Fail
1f,4,1.3607633113861084,Fail
1f,40,1.6637401580810547,Fail
1f,41,1.6405669450759888,Fail
1f,42,1.6967707872390747,Fail
1f,43,1.7342575788497925,Fail
1f,44,1.6546427011489868,Fail
1f,45,1.6503971815109253,Fail
1f,46,1.7146791219711304,Fail
1f,47,1.6683260202407837,Fail
1f,48,1.6604772806167603,Fail
1f,49,1.7413753271102905,Fail
1f,5,1.334275245666504,Fail
1f,50,1.886080026626587,Fail
1f,51,1.7146276235580444,Fail
1f,52,1.7180417776107788,Fail
1f,53,1.7774455547332764,Fail
1f,54,1.769818902015686,Fail
1f,55,2.180582046508789,Fail
1f,56,2.3514859676361084,Fail
1f,6,1.7520838975906372,Fail
1f,7,1.7215235233306885,Fail
1f,8,2.103480339050293,Fail
1f,9,2.133428692817688,Fail
1,1,1.8884246349334717,WeakPass
1,10,1.9610016345977783,WeakPass
1,11,1.867262840270996,WeakPass
1,12,1.9109044075012207,WeakPass
1,13,2.4173290729522705,WeakPass
1,14,1.9866911172866821,WeakPass
1,15,2.152555823326111,WeakPass
1,16,1.9320801496505737,WeakPass
1,17,2.228758215904236,WeakPass
1,18,2.0358920097351074,WeakPass
1,19,1.9375349283218384,WeakPass
1,2,1.714526653289795,WeakPass
1,20,1.6227903366088867,WeakPass
1,21,1.5467119216918945,WeakPass
1,22,1.4715832471847534,WeakPass
1,23,1.5048503875732422,WeakPass
1,24,1.4560168981552124,WeakPass
1,25,1.5463042259216309,WeakPass
1,26,1.6903140544891357,WeakPass
1,27,1.8671910762786865,WeakPass
1,28,1.8452149629592896,WeakPass
1,29,1.7464615106582642,WeakPass
1,3,1.6323862075805664,WeakPass
1,30,1.9187846183776855,WeakPass
1,31,1.6736962795257568,WeakPass
1,32,1.6969023942947388,WeakPass
1,33,1.6865804195404053,WeakPass
1,34,1.6135989427566528,WeakPass
1,35,1.7231673002243042,WeakPass
1,36,1.6340140104293823,WeakPass
1,37,1.7873404026031494,WeakPass
1,38,1.6194618940353394,WeakPass
1,39,1.652818202972412,WeakPass
1,4,1.3924344778060913,WeakPass
1,40,1.7147998809814453,WeakPass
1,41,1.8099989891052246,WeakPass
1,42,1.8814668655395508,WeakPass
1,43,1.7933688163757324,WeakPass
1,44,1.59430730342865,WeakPass
1,45,1.6599221229553223,WeakPass
1,46,1.722177267074585,WeakPass
1,47,1.8384313583374023,WeakPass
1,48,2.0209637880325317,WeakPass
1,49,1.92421293258667,WeakPass
1,5,1.3807040452957153,WeakPass
1,50,1.8109912872314453,WeakPass
1,51,2.043953776359558,WeakPass
1,52,1.7681523561477661,WeakPass
1,53,2.0544965267181396,WeakPass
1,54,2.126269817352295,WeakPass
1,55,1.726326823234558,WeakPass
1,56,1.7586649656295776,Pass
1,6,1.4079805612564087,WeakPass
1,7,1.7847038507461548,WeakPass
1,8,1.463126301765442,WeakPass
1,9,1.7735520601272583,WeakPass
